Feature,Chi2,p-value
Customer Status,4225.0,0.0
Contract,856.1583968258672,1.223393902751833e-186
Offer,316.75500055788916,2.629980825479453e-67
Payment Method,171.349430757473,6.193610245436761e-38
Internet Type,136.20135422792154,2.656144607854974e-30
City,1220.5274595667838,0.0023159853954559705
Lat Long,1785.0357697615382,0.0033203111992346655
Gender,1.1003148184022085,0.29419702521324376
Customer ID,4225.0,0.4927667069940409
Churn Category,0.0,1.0
Churn Reason,0.0,1.0
Country,0.0,1.0
Quarter,0.0,1.0
State,0.0,1.0
